MAV0,RMS0,VAR0,SSC0,WL0,ZC0,WAMP0,AR1C0,AR2C0,AR3C0,AR4C0,DELTAX0,DELTAY0,DELTAZ0,MAV1,RMS1,VAR1,SSC1,WL1,ZC1,WAMP1,AR1C1,AR2C1,AR3C1,AR4C1,DELTAX1,DELTAY1,DELTAZ1,MOTION,FOLDNO
4.5246,6.0504,36.6048,29.2000,2453.2526,5.8116,9.2184,0.7945,-0.7347,0.4493,-0.3096,-0.1657,0.0630,-0.0850,8.4105,10.7971,116.5761,33.6000,3548.6509,16.4329,41.2826,1.0406,-0.8174,0.5810,-0.3791,-15.9512,6.0714,51.6923,EF,2
12.1929,22.0185,484.7293,28.4000,3766.4308,8.2164,22.2445,1.5828,-1.2222,0.6967,-0.2565,-1.4627,-0.6709,1.8317,9.1751,11.7045,136.9803,36.2000,3926.4075,19.2385,45.8918,1.0256,-0.8169,0.5509,-0.3830,-14.2040,4.8121,43.3549,EF,2
21.6812,30.6123,937.0639,26.8000,5496.7339,11.6232,41.6834,1.7193,-1.4153,0.8254,-0.3049,-4.8066,-4.5387,12.8537,9.0412,11.8604,140.6656,36.0000,3983.7856,20.4409,46.4930,1.0478,-0.8459,0.5672,-0.3668,-12.1359,3.8712,34.0660,EF,2
24.9167,31.9167,1018.5090,27.4000,5909.8497,11.6232,49.6994,1.5703,-1.1545,0.7705,-0.3786,-2.5756,-13.0465,36.5289,9.7971,12.9545,167.7622,35.8000,4206.3777,20.2405,50.1002,1.1143,-0.8866,0.5978,-0.3648,-8.3789,3.0731,27.2054,EF,2
21.3253,27.4329,752.5305,29.6000,5525.9681,11.0220,44.6894,1.4490,-1.0482,0.7625,-0.3946,2.9260,-19.3823,52.7334,17.8109,24.2150,586.3654,35.4000,6740.9222,21.0421,64.9299,1.3090,-1.0440,0.6349,-0.3723,-5.2789,4.0092,22.7333,EF,2
20.3728,26.1125,681.8449,31.0000,6047.6520,13.8277,45.2906,1.4908,-1.2040,0.7833,-0.3964,4.1983,-19.0336,49.5069,25.4766,31.4324,987.9933,34.2000,8375.0021,21.2425,73.7475,1.4340,-1.1582,0.7146,-0.3645,-2.2403,1.4380,9.4058,EF,2
22.6326,28.5162,813.1708,31.0000,6897.4227,17.0341,50.5010,1.5064,-1.2503,0.8045,-0.3722,4.3117,-16.6408,42.4130,26.6842,33.3291,1110.8304,31.2000,8043.4974,18.6373,71.7435,1.5176,-1.2454,0.8011,-0.3989,-0.0582,-1.3783,-0.1406,EF,2
23.5011,29.5486,873.0616,27.8000,7079.0497,16.4329,53.5070,1.4681,-1.1688,0.7599,-0.3914,2.7194,-14.1740,34.8203,24.9025,31.7807,1009.9186,31.8000,7687.2124,18.0361,71.7435,1.4788,-1.1663,0.7479,-0.4061,-0.0667,-0.4504,-0.0026,EF,2
24.7462,30.8705,952.9224,23.6000,7114.8636,16.0321,55.7114,1.5095,-1.1712,0.7015,-0.3654,0.3391,-11.9332,27.1813,26.9149,35.4293,1255.2057,31.8000,7437.0741,16.8337,69.1383,1.5009,-1.0925,0.6867,-0.3643,-0.0313,-0.5505,-0.1897,EF,2
26.1753,33.4836,1121.0847,27.4000,8287.7885,18.8377,58.7174,1.4533,-1.1851,0.7429,-0.4142,-0.8749,-9.9395,22.1927,32.2849,41.3321,1708.0728,29.8000,7788.2025,15.0301,70.5411,1.5233,-1.0439,0.6310,-0.3341,-0.5134,-0.7275,0.0071,EF,2
30.7850,39.6797,1574.3836,33.6000,10593.3910,19.6393,66.3327,1.5067,-1.3486,0.8106,-0.4073,-1.0276,-4.6405,11.2832,32.0892,42.9127,1841.4695,32.2000,7838.6824,16.0321,71.9439,1.5063,-1.0168,0.7131,-0.4219,-0.2626,-0.7227,-0.3677,EF,2
