MAV0,RMS0,VAR0,SSC0,WL0,ZC0,WAMP0,AR1C0,AR2C0,AR3C0,AR4C0,DELTAX0,DELTAY0,DELTAZ0,MAV1,RMS1,VAR1,SSC1,WL1,ZC1,WAMP1,AR1C1,AR2C1,AR3C1,AR4C1,DELTAX1,DELTAY1,DELTAZ1,MOTION,FOLDNO
12.4248,16.3729,268.0381,31.0000,3575.4072,15.6313,44.0882,1.3101,-0.8452,0.6794,-0.3958,-1.6553,-3.0076,5.6476,4.2555,5.5432,30.7239,31.2000,1929.7675,16.0321,28.4569,0.9100,-0.5856,0.4633,-0.3243,0.0928,0.5353,7.7167,EF,2
18.0078,22.6655,513.7239,29.0000,4400.1541,12.8257,48.6974,1.4929,-1.0701,0.7569,-0.3987,-4.9091,-6.8029,15.1106,6.2490,8.0840,65.3507,31.6000,2278.2551,14.8297,35.4709,1.0168,-0.5351,0.4363,-0.2998,0.2105,1.2001,18.3790,EF,2
25.6326,34.3406,1179.2745,28.2000,5958.0806,12.8257,58.9178,1.6424,-1.2435,0.7917,-0.3786,-7.6341,-12.5954,26.6231,8.0484,9.9721,99.4407,29.8000,2527.3020,13.6273,43.6874,1.1219,-0.6005,0.4823,-0.3419,0.2345,2.2216,32.4847,EF,2
35.1364,45.9108,2107.3073,27.4000,8344.0358,12.8257,69.5391,1.7569,-1.4125,0.7689,-0.3035,-9.7568,-24.5706,43.4899,10.4772,13.0608,170.5562,26.6000,2977.1062,13.8277,50.5010,1.3264,-0.8305,0.5460,-0.3502,1.2455,8.9496,52.2707,EF,2
44.6970,56.8319,3229.8088,26.6000,11386.6081,14.8297,81.3627,1.7481,-1.4395,0.8001,-0.3429,-5.5193,-33.1624,55.9919,14.7785,18.4547,340.5702,26.0000,4198.3889,14.2285,61.3226,1.4498,-1.0318,0.5958,-0.3547,-5.4229,16.2904,63.9966,EF,2
47.8803,60.0165,3601.2415,26.8000,12473.0736,17.2345,84.5691,1.7822,-1.5623,0.9573,-0.4230,4.0293,-26.3318,49.8926,18.2717,22.5211,507.1954,26.2000,5156.3609,15.6313,69.1383,1.4658,-1.0824,0.6657,-0.3869,-15.1643,13.9428,54.3354,EF,2
45.9167,59.0459,3486.2972,29.2000,12976.9391,18.2365,81.1623,1.7288,-1.5220,0.9024,-0.3967,7.9549,-14.9816,35.4510,19.2178,24.3502,592.8570,29.2000,5994.2954,19.4389,74.7495,1.5450,-1.2827,0.7311,-0.3397,-14.1759,8.1200,39.7170,EF,2
42.6018,56.7569,3221.3220,28.8000,13026.4234,17.8357,81.3627,1.6611,-1.4423,0.8351,-0.3760,6.6630,-7.9062,21.6509,18.0239,23.6457,559.1175,33.6000,6476.0074,23.0461,77.7555,1.4543,-1.2660,0.7412,-0.3708,-9.0030,5.7697,27.8027,EF,2
37.5537,48.7561,2377.0324,30.0000,11775.8089,18.0361,78.9579,1.5802,-1.3576,0.8198,-0.3992,2.0111,-2.6328,8.6335,15.1293,19.6671,386.7903,34.4000,5697.2227,23.8477,72.3447,1.3302,-1.1339,0.6867,-0.3727,-2.8147,0.9490,14.0449,EF,2
39.2170,50.6547,2565.8176,31.4000,11587.4557,18.0361,76.3527,1.5906,-1.3618,0.8479,-0.4465,0.3094,0.5011,0.6975,14.9480,19.8262,393.0749,31.8000,5449.0032,24.2485,71.5431,1.3519,-1.0896,0.6453,-0.3577,0.1024,-2.4071,3.1140,EF,2
